Service,Policy Definition,Parameter Requirements,Audit Only,Azure Security Benchmark,CIS,CCMC L3,ISO 27001,NIST SP 800-53 R4,NIST SP 800-171 R2,HIPAA HITRUST 9.2,New Zealand ISM,Parameters,Link
Event Grid,Azure Event Grid domains should use private link,None,Yes,NS-3,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Event%20Grid/Domains_PrivateEndpoint_Audit.json
Event Grid,Azure Event Grid topics should disable public network access,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Event%20Grid/Topics_PublicNetworkAccess_AuditDeny.json
Event Grid,Azure Event Grid topics should use private link,None,Yes,NS-3,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Event%20Grid/Topics_PrivateEndpoint_Audit.json
Event Hub,All authorization rules except RootManageSharedAccessKey should be removed from Event Hub namespace,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Event%20Hub/EventHub_AuditNamespaceAccessRules_Audit.json
Event Hub,Authorization rules on the Event Hub instance should be defined,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Event%20Hub/EventHub_AuditEventHubAccessRules_Audit.json
Event Hub,Event Hub namespaces should use a customer-managed key for encryption,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Event%20Hub/EventHub_CustomerManagedKeyEnabled_Audit.json
Event Hub,Event Hub namespaces should use private link,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Event%20Hub/EventHub_PrivateEndpoint_Audit.json
Event Hub,Resource logs in Event Hub should be enabled,Optional,Yes,LT-4,5.3,,,,,1207.09aa2System.4 - 09.aa,,requiredRetentionDays,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Event%20Hub/EventHub_AuditDiagnosticLog_Audit.json
General,Allowed locations,Required,No,,,,,,,,ESS-2,listOfAllowedLocations,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/General/AllowedLocations_Deny.json
General,Allowed locations for resource groups,Required,No,,,,,,,,ESS-2,listOfAllowedLocations,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/General/ResourceGroupAllowedLocations_Deny.json
General,Allowed resource types,Required,No,,,,,,,,,listOfResourceTypesAllowed,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/General/AllowedResourceTypes_Deny.json
General,Audit resource location matches resource group location,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/General/ResourcesInResourceGroupLocation_Audit.json
General,Audit usage of custom RBAC rules,None,Yes,PA-7,,,A.9.2.3,AC-2 (7),,1230.09c2Organizational.1 - 09.c,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/General/Subscription_AuditCustomRBACRoles_Audit.json
General,Custom subscription owner roles should not exist,None,Yes,PA-7,1.21,,,,,1278.09c2Organizational.56 - 09.c,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/General/CustomSubscription_OwnerRole_Audit.json
General,Not allowed resource types,Required,No,,,,,,,,,listOfResourceTypesNotAllowed,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/General/InvalidResourceTypes_Deny.json
Guest Configuration,Audit Linux machines that allow remote connections from accounts without passwords,Optional,Yes,,,,A.9.1.2,AC-17 (1),3.1.12,,AC-2,IncludeArcMachines,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_LinuxPassword110_AINE.json
Guest Configuration,Audit Linux machines that do not have the passwd file permissions set to 0644,Optional,Yes,,,,A.9.2.4,IA-5,3.5.10,,,IncludeArcMachines,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_LinuxPassword121_AINE.json
Guest Configuration,Audit Linux machines that don't have the specified applications installed,Required,Yes,,,,,,,,,"IncludeArcMachines, ApplicationName",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_InstalledApplicationForLinux_AINE.json
Guest Configuration,Audit Linux machines that have accounts without passwords,Optional,Yes,,,,A.9.1.2,IA-5,3.5.7,,AC-2,IncludeArcMachines,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_LinuxPassword232_AINE.json
Guest Configuration,Audit Linux machines that have the specified applications installed,Required,Yes,,,,,,,,,"IncludeArcMachines, ApplicationName",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_NotInstalledApplicationForLinux_AINE.json
Guest Configuration,Audit Windows VMs with a pending reboot,Optional,Yes,,,,,,,,,IncludeArcMachines,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsPendingReboot_AINE.json
Guest Configuration,Audit Windows machines missing any of specified members in the Administrators group,Required,Yes,,,,,AC-6 (7),3.1.4,1127.01q2System.3 - 01.q,AC-9,"IncludeArcMachines, MembersToInclude",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_AdministratorsGroupMembersToInclude_AINE.json
Guest Configuration,Audit Windows machines network connectivity,Required,Yes,,,,,,,,,"IncludeArcMachines, host, port, shouldConnect",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsRemoteConnection_AINE.json
Guest Configuration,Audit Windows machines on which Windows Serial Console is not enabled,Optional,Yes,,,,,,,,,"IncludeArcMachines, EMSPortNumber, EMSBaudRate",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsSerialConsole_AINE.json
Guest Configuration,Audit Windows machines on which the DSC configuration is not compliant,Optional,Yes,,,,,,,,,IncludeArcMachines,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsDscConfiguration_AINE.json
Guest Configuration,Audit Windows machines on which the Log Analytics agent is not connected as expected,Required,Yes,,,,,,,1217.09ab3System.3 - 09.ab,,"IncludeArcMachines, WorkspaceId",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsLogAnalyticsAgentConnection_AINE.json
Guest Configuration,Audit Windows machines on which the specified services are not installed and 'Running',Required,Yes,,,,,,,,,"IncludeArcMachines, ServiceName",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsServiceStatus_AINE.json
Guest Configuration,Audit Windows machines that allow re-use of the previous 24 passwords,Optional,Yes,,,,A.9.4.3,IA-5 (1),3.5.8,,,IncludeArcMachines,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsPasswordEnforce_AINE.json
Guest Configuration,Audit Windows machines that are not joined to the specified domain,Required,Yes,,,,,,,,,"IncludeArcMachines, DomainName",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsDomainMembership_AINE.json
Guest Configuration,Audit Windows machines that are not set to the specified time zone,Required,Yes,,,,,,,,,"IncludeArcMachines, TimeZone",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsTimeZone_AINE.json
Guest Configuration,Audit Windows machines that contain certificates expiring within the specified number of days,Required,Yes,,,,,,,,,"IncludeArcMachines, CertificateStorePath, ExpirationLimitInDays, CertificateThumbprintsToInclude, CertificateThumbprintsToExclude, IncludeExpiredCertificates",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_CertificateExpiration_AINE.json
Guest Configuration,Audit Windows machines that do not contain the specified certificates in Trusted Root,Required,Yes,,,,,,,0945.09y1Organizational.3 - 09.y,,"IncludeArcMachines, CertificateThumbprints",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsCertificateInTrustedRoot_AINE.json
Guest Configuration,Audit Windows machines that do not have a maximum password age of 70 days,Optional,Yes,,,,A.9.4.3,IA-5 (1),,,,IncludeArcMachines,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsMaximumPassword_AINE.json
Guest Configuration,Audit Windows machines that do not have a minimum password age of 1 day,Optional,Yes,,,,A.9.4.3,IA-5 (1),,,,IncludeArcMachines,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsMinimumPassword_AINE.json
Guest Configuration,Audit Windows machines that do not have the password complexity setting enabled,Optional,Yes,,,,A.9.4.3,IA-5 (1),3.5.7,,,IncludeArcMachines,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsPasswordComplexity_AINE.json
Guest Configuration,Audit Windows machines that do not have the specified Windows PowerShell execution policy,Required,Yes,,,,,,,,,"IncludeArcMachines, ExecutionPolicy",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsPowerShellExecutionPolicy_AINE.json
Guest Configuration,Audit Windows machines that do not have the specified Windows PowerShell modules installed,Required,Yes,,,,,,,,,"IncludeArcMachines, Modules",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsPowerShellModules_AINE.json
Guest Configuration,Audit Windows machines that do not restrict the minimum password length to 14 characters,Optional,Yes,,,,A.9.4.3,IA-5 (1),3.5.7,,,IncludeArcMachines,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsPasswordLength_AINE.json
Guest Configuration,Audit Windows machines that do not store passwords using reversible encryption,Optional,Yes,,,,A.10.1.1,IA-5 (1),3.5.10,,,IncludeArcMachines,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsPasswordEncryption_AINE.json
Guest Configuration,Audit Windows machines that don't have the specified applications installed,Required,Yes,,,,,,,,,"IncludeArcMachines, installedApplication",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_InstalledApplicationForWindows_AINE.json
Guest Configuration,Audit Windows machines that have extra accounts in the Administrators group,Optional,Yes,,,,,,,1123.01q1System.2 - 01.q,AC-9,"IncludeArcMachines, Members",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_AdministratorsGroupMembers_AINE.json
Guest Configuration,Audit Windows machines that have not restarted within the specified number of days,Optional,Yes,,,,,,,,,"IncludeArcMachines, NumberOfDays",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_MachineLastBootUpTime_AINE.json
Guest Configuration,Audit Windows machines that have the specified applications installed,Required,Yes,,,,,,,,,"IncludeArcMachines, ApplicationName",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_NotInstalledApplicationForWindows_AINE.json
Guest Configuration,Audit Windows machines that have the specified members in the Administrators group,Required,Yes,,,,,AC-6 (7),3.1.4,1125.01q2System.1 - 01.q,AC-9,"IncludeArcMachines, MembersToExclude",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_AdministratorsGroupMembersToExclude_AINE.json
Guest Configuration,Authentication to Linux machines should require SSH keys,Optional,Yes,,,,,,,,,IncludeArcMachines,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_LinuxNoPasswordForSSH_AINE.json
Guest Configuration,Linux machines should meet requirements for the Azure security baseline,Optional,Yes,,,,,,,,,IncludeArcMachines,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_AzureLinuxBaseline_AINE.json
Guest Configuration,Windows Defender Exploit Guard should be enabled on your machines,Optional,Yes,ES-2,,,,,,,DM-4,"IncludeArcMachines, NotAvailableMachineState",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsDefenderExploitGuard_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Administrative Templates - Control Panel',Optional,Yes,,,,,,,,,IncludeArcMachines,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_AdministrativeTemplatesControlPanel_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Administrative Templates - MSS (Legacy)',Optional,Yes,,,,,,,,,IncludeArcMachines,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_AdministrativeTemplatesMSSLegacy_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Administrative Templates - Network',Optional,Yes,,,,,,,,,"IncludeArcMachines, EnableInsecureGuestLogons, AllowSimultaneousConnectionsToTheInternetOrAWindowsDomain, TurnOffMulticastNameResolution",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_AdministrativeTemplatesNetwork_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Administrative Templates - System',Optional,Yes,,,,,,,,,"IncludeArcMachines, AlwaysUseClassicLogon, BootStartDriverInitializationPolicy, EnableWindowsNTPClient, TurnOnConveniencePINSignin",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_AdministrativeTemplatesSystem_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Options - Accounts',Optional,Yes,,,,,,,1148.01c2System.78 - 01.c,,"IncludeArcMachines, AccountsGuestAccountStatus",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecurityOptionsAccounts_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Options - Audit',Optional,Yes,,,,,,,0605.10h1System.12 - 10.h,,"IncludeArcMachines, AuditShutDownSystemImmediatelyIfUnableToLogSecurityAudits",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecurityOptionsAudit_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Options - Devices',Optional,Yes,,,,,,,,,"IncludeArcMachines, DevicesAllowedToFormatAndEjectRemovableMedia",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecurityOptionsDevices_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Options - Interactive Logon',Optional,Yes,,,,,,,,,IncludeArcMachines,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecurityOptionsInteractiveLogon_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Options - Microsoft Network Client',Optional,Yes,,,,,,,,,"IncludeArcMachines, MicrosoftNetworkClientDigitallySignCommunicationsAlways, MicrosoftNetworkClientSendUnencryptedPasswordToThirdpartySMBServers, MicrosoftNetworkServerAmountOfIdleTimeRequiredBeforeSuspendingSession, MicrosoftNetworkServerDigitallySignCommunicationsAlways, MicrosoftNetworkServerDisconnectClientsWhenLogonHoursExpire",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecurityOptionsMicrosoftNetworkClient_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Options - Microsoft Network Server',Optional,Yes,,,,,,,0709.10m1Organizational.1 - 10.m,,IncludeArcMachines,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecurityOptionsMicrosoftNetworkServer_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Options - Network Access',Optional,Yes,,,,,,,0861.09m2Organizational.67 - 09.m,,"IncludeArcMachines, NetworkAccessRemotelyAccessibleRegistryPaths, NetworkAccessRemotelyAccessibleRegistryPathsAndSubpaths, NetworkAccessSharesThatCanBeAccessedAnonymously",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecurityOptionsNetworkAccess_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Options - Network Security',Optional,Yes,,,,,,3.5.10,,,"IncludeArcMachines, NetworkSecurityConfigureEncryptionTypesAllowedForKerberos, NetworkSecurityLANManagerAuthenticationLevel, NetworkSecurityLDAPClientSigningRequirements, NetworkSecurityMinimumSessionSecurityForNTLMSSPBasedIncludingSecureRPCClients, NetworkSecurityMinimumSessionSecurityForNTLMSSPBasedIncludingSecureRPCServers",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecurityOptionsNetworkSecurity_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Options - Recovery console',Optional,Yes,,,,,,,1637.12b2Organizational.2 - 12.b,,"IncludeArcMachines, RecoveryConsoleAllowFloppyCopyAndAccessToAllDrivesAndAllFolders",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecurityOptionsRecoveryconsole_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Options - Shutdown',Optional,Yes,,,,,,,,,"IncludeArcMachines, ShutdownAllowSystemToBeShutDownWithoutHavingToLogOn, ShutdownClearVirtualMemoryPagefile",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecurityOptionsShutdown_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Options - System objects',Optional,Yes,,,,,,,,,IncludeArcMachines,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecurityOptionsSystemobjects_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Options - System settings',Optional,Yes,,,,,,,,,"IncludeArcMachines, SystemSettingsUseCertificateRulesOnWindowsExecutablesForSoftwareRestrictionPolicies",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecurityOptionsSystemsettings_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Options - User Account Control',Optional,Yes,,,,,,,1277.09c2Organizational.4 - 09.c,,"IncludeArcMachines, UACAdminApprovalModeForTheBuiltinAdministratorAccount, UACBehaviorOfTheElevationPromptForAdministratorsInAdminApprovalMode, UACDetectApplicationInstallationsAndPromptForElevation, UACRunAllAdministratorsInAdminApprovalMode",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecurityOptionsUserAccountControl_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Security Settings - Account Policies',Optional,Yes,,,,,,,,AC-4,"IncludeArcMachines, EnforcePasswordHistory, MaximumPasswordAge, MinimumPasswordAge, MinimumPasswordLength, PasswordMustMeetComplexityRequirements",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecuritySettingsAccountPolicies_AINE.json
Guest Configuration,Windows machines should meet requirements for 'System Audit Policies - Account Logon',Optional,Yes,,,,,,,,,"IncludeArcMachines, AuditCredentialValidation",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SystemAuditPoliciesAccountLogon_AINE.json
Guest Configuration,Windows machines should meet requirements for 'System Audit Policies - Account Management',Optional,Yes,,,,,,,0605.10h1System.12 - 10.h,,IncludeArcMachines,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SystemAuditPoliciesAccountManagement_AINE.json
Guest Configuration,Windows machines should meet requirements for 'System Audit Policies - Detailed Tracking',Optional,Yes,,,,,,,0644.10k3Organizational.4 - 10.k,,"IncludeArcMachines, AuditProcessTermination",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SystemAuditPoliciesDetailedTracking_AINE.json
Guest Configuration,Windows machines should meet requirements for 'System Audit Policies - Logon-Logoff',Optional,Yes,,,,,,,,,"IncludeArcMachines, AuditGroupMembership",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SystemAuditPoliciesLogonLogoff_AINE.json
Guest Configuration,Windows machines should meet requirements for 'System Audit Policies - Object Access',Optional,Yes,,,,,,,,,"IncludeArcMachines, AuditDetailedFileShare, AuditFileShare, AuditFileSystem",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SystemAuditPoliciesObjectAccess_AINE.json
Guest Configuration,Windows machines should meet requirements for 'System Audit Policies - Policy Change',Optional,Yes,,,,,,,,,"IncludeArcMachines, AuditAuthenticationPolicyChange, AuditAuthorizationPolicyChange",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SystemAuditPoliciesPolicyChange_AINE.json
Guest Configuration,Windows machines should meet requirements for 'System Audit Policies - Privilege Use',Optional,Yes,,,,,,,,,IncludeArcMachines,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SystemAuditPoliciesPrivilegeUse_AINE.json
Guest Configuration,Windows machines should meet requirements for 'System Audit Policies - System',Optional,Yes,,,,,,,,,"IncludeArcMachines, AuditOtherSystemEvents",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SystemAuditPoliciesSystem_AINE.json
Guest Configuration,Windows machines should meet requirements for 'User Rights Assignment',Optional,Yes,,,,,,,1232.09c3Organizational.12 - 09.c,,"IncludeArcMachines, UsersOrGroupsThatMayAccessThisComputerFromTheNetwork, UsersOrGroupsThatMayLogOnLocally, UsersOrGroupsThatMayLogOnThroughRemoteDesktopServices, UsersAndGroupsThatAreDeniedAccessToThisComputerFromTheNetwork, UsersOrGroupsThatMayManageAuditingAndSecurityLog, UsersOrGroupsThatMayBackUpFilesAndDirectories, UsersOrGroupsThatMayChangeTheSystemTime, UsersOrGroupsThatMayChangeTheTimeZone, UsersOrGroupsThatMayCreateATokenObject, UsersAndGroupsThatAreDeniedLoggingOnAsABatchJob, UsersAndGroupsThatAreDeniedLoggingOnAsAService, UsersAndGroupsThatAreDeniedLocalLogon, UsersAndGroupsThatAreDeniedLogOnThroughRemoteDesktopServices, UserAndGroupsThatMayForceShutdownFromARemoteSystem, UsersAndGroupsThatMayRestoreFilesAndDirectories, UsersAndGroupsThatMayShutDownTheSystem, UsersOrGroupsThatMayTakeOwnershipOfFilesOrOtherObjects",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_UserRightsAssignment_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Windows Components',Optional,Yes,,,,,,,,,"IncludeArcMachines, SendFileSamplesWhenFurtherAnalysisIsRequired, AllowIndexingOfEncryptedFiles, AllowTelemetry, AllowUnencryptedTraffic, AlwaysInstallWithElevatedPrivileges, AlwaysPromptForPasswordUponConnection, ApplicationSpecifyTheMaximumLogFileSizeKB, AutomaticallySendMemoryDumpsForOSgeneratedErrorReports, ConfigureDefaultConsent, ConfigureWindowsSmartScreen, DisallowDigestAuthentication, DisallowWinRMFromStoringRunAsCredentials, DoNotAllowPasswordsToBeSaved, SecuritySpecifyTheMaximumLogFileSizeKB, SetClientConnectionEncryptionLevel, SetTheDefaultBehaviorForAutoRun, SetupSpecifyTheMaximumLogFileSizeKB, SystemSpecifyTheMaximumLogFileSizeKB, TurnOffDataExecutionPreventionForExplorer, SpecifyTheIntervalToCheckForDefinitionUpdates",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsComponents_AINE.json
Guest Configuration,Windows machines should meet requirements for 'Windows Firewall Properties',Optional,Yes,,,,,,,0858.09m1Organizational.4 - 09.m,,"IncludeArcMachines, WindowsFirewallDomainUseProfileSettings, WindowsFirewallDomainBehaviorForOutboundConnections, WindowsFirewallDomainApplyLocalConnectionSecurityRules, WindowsFirewallDomainApplyLocalFirewallRules, WindowsFirewallDomainDisplayNotifications, WindowsFirewallPrivateUseProfileSettings, WindowsFirewallPrivateBehaviorForOutboundConnections, WindowsFirewallPrivateApplyLocalConnectionSecurityRules, WindowsFirewallPrivateApplyLocalFirewallRules, WindowsFirewallPrivateDisplayNotifications, WindowsFirewallPublicUseProfileSettings, WindowsFirewallPublicBehaviorForOutboundConnections, WindowsFirewallPublicApplyLocalConnectionSecurityRules, WindowsFirewallPublicApplyLocalFirewallRules, WindowsFirewallPublicDisplayNotifications, WindowsFirewallDomainAllowUnicastResponse, WindowsFirewallPrivateAllowUnicastResponse, WindowsFirewallPublicAllowUnicastResponse",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsFirewallProperties_AINE.json
Guest Configuration,Windows machines should meet requirements of the Azure Security Center baseline,Optional,Yes,,,,,,,,,IncludeArcMachines,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_AzureWindowsBaseline_AINE.json
Guest Configuration,Windows web servers should be configured to use secure communication protocols,Optional,Yes,DP-4,,,,SC-8 (1),3.13.8,,DM-6,"IncludeArcMachines, MinimumTLSVersion",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_SecureWebProtocol_AINE.json
HDInsight,Azure HDInsight clusters should be injected into a virtual network,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/HDInsight/HDInsight_VNETInjection_Audit.json
HDInsight,Azure HDInsight clusters should use customer-managed keys to encrypt data at rest,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/HDInsight/HDInsight_CMK_Audit.json
HDInsight,Azure HDInsight clusters should use encryption at host to encrypt data at rest,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/HDInsight/HDInsight_EncryptionAtHost_Audit.json
HDInsight,Azure HDInsight clusters should use encryption in transit to encrypt communication between Azure HDInsight cluster nodes,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/HDInsight/HDInsight_EncryptionInTransit_Audit.json
Internet of Things,Azure IoT Hub should use customer-managed key to encrypt data at rest,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Internet%20of%20Things/IotHub_CMKEncryptionEnabled.json
Internet of Things,IoT Hub device provisioning service data should be encrypted using customer-managed keys (CMK),None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Internet%20of%20Things/IoTDps_CMKEncryptionEnabled_AuditDeny.json
Internet of Things,IoT Hub device provisioning service instances should disable public network access,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Internet%20of%20Things/IoTDps_DisablePublicNetworkAccess_AuditDeny.json
